Topics,Alpha,Beta,Coherence
3,0.9099999999999999,symmetric,-2.4682642589603283
3,symmetric,0.01,-2.481183105724257
3,symmetric,0.31,-2.388294205094738
3,symmetric,0.61,-2.82644889660016
3,symmetric,0.9099999999999999,-4.5749029418080305
3,symmetric,symmetric,-2.5453656971111545
3,asymmetric,0.01,-3.1774177107743165
3,asymmetric,0.31,-3.3631954135188837
3,asymmetric,0.61,-10.191104505910618
3,asymmetric,0.9099999999999999,-12.287665793634432
3,asymmetric,symmetric,-4.638008531172169
4,0.01,0.01,-3.546333415685769
4,0.01,0.31,-2.561263238212856
4,0.01,0.61,-4.455133919976461
4,0.01,0.9099999999999999,-10.336220999404395
4,0.01,symmetric,-2.5415992838641754
4,0.31,0.01,-2.8866965130656475
4,0.31,0.31,-2.881156153345314
4,0.31,0.61,-4.984826452161605
4,0.31,0.9099999999999999,-8.847161737970405
4,0.31,symmetric,-2.7012307620561593
4,0.61,0.01,-2.834358689629337
4,0.61,0.31,-2.8760209695298626
4,0.61,0.61,-5.174470748800612
4,0.61,0.9099999999999999,-8.650990382052605
4,0.61,symmetric,-3.0762054972614674
4,0.9099999999999999,0.01,-2.8587841389929323
4,0.9099999999999999,0.31,-2.979080822001942
4,0.9099999999999999,0.61,-4.913275447720555
4,0.9099999999999999,0.9099999999999999,-9.357902334028237
4,0.9099999999999999,symmetric,-2.966635012501767
4,symmetric,0.01,-2.8232625311746413
4,symmetric,0.31,-2.795419530038048
4,symmetric,0.61,-4.672018734788216
4,symmetric,0.9099999999999999,-8.565938406214316
4,symmetric,symmetric,-2.8618347948810303
4,asymmetric,0.01,-4.855271138975436
4,asymmetric,0.31,-6.650522539268184
4,asymmetric,0.61,-10.670994343907681
4,asymmetric,0.9099999999999999,-13.469400616003249
4,asymmetric,symmetric,-6.090536385512198
5,0.01,0.01,-3.0008469980327686
5,0.01,0.31,-3.646622838753919
5,0.01,0.61,-7.602985480235658
5,0.01,0.9099999999999999,-11.075258904676037
5,0.01,symmetric,-2.8698423637136257
5,0.31,0.01,-3.3686642563644895
5,0.31,0.31,-3.793292767906595
5,0.31,0.61,-8.086573519081089
5,0.31,0.9099999999999999,-11.137195423983519
5,0.31,symmetric,-3.0538746161977492
5,0.61,0.01,-3.331459506436667
5,0.61,0.31,-4.090731537863611
5,0.61,0.61,-7.943366727997628
5,0.61,0.9099999999999999,-9.672147631755468
5,0.61,symmetric,-3.2007386489137
5,0.9099999999999999,0.01,-3.115283859699167
5,0.9099999999999999,0.31,-2.769669274210458
5,0.9099999999999999,0.61,-5.503801799444341
5,0.9099999999999999,0.9099999999999999,-11.52087134881449
5,0.9099999999999999,symmetric,-2.9996373318681635
5,symmetric,0.01,-2.991012928369871
5,symmetric,0.31,-3.3554108179822153
5,symmetric,0.61,-8.090224057336458
5,symmetric,0.9099999999999999,-11.089180436482721
5,symmetric,symmetric,-4.140996690398444
5,asymmetric,0.01,-6.191133639394778
5,asymmetric,0.31,-10.279398459435447
5,asymmetric,0.61,-13.673467268695472
5,asymmetric,0.9099999999999999,-11.340719348848669
5,asymmetric,symmetric,-7.382455336164503
6,0.01,0.01,-3.3647602321676637
6,0.01,0.31,-4.05129859651914
6,0.01,0.61,-10.765179212959252
6,0.01,0.9099999999999999,-13.944480469748726
6,0.01,symmetric,-3.3095400162095667
6,0.31,0.01,-3.6635333966607084
6,0.31,0.31,-3.87668418167455
6,0.31,0.61,-10.483466078533821
6,0.31,0.9099999999999999,-14.111427580917507
6,0.31,symmetric,-3.3305002723689037
6,0.61,0.01,-4.077037036704049
6,0.61,0.31,-4.5154497593923
6,0.61,0.61,-9.824476547702737
6,0.61,0.9099999999999999,-15.389805709751718
6,0.61,symmetric,-3.5358151824239314
6,0.9099999999999999,0.01,-3.6322282199147193
6,0.9099999999999999,0.31,-3.9128046439228594
6,0.9099999999999999,0.61,-9.470530815553671
6,0.9099999999999999,0.9099999999999999,-12.890790318637551
6,0.9099999999999999,symmetric,-3.182646651828217
6,symmetric,0.01,-3.501641430489116
6,symmetric,0.31,-4.005444469322636
6,symmetric,0.61,-11.149874153627735
6,symmetric,0.9099999999999999,-11.09205265250439
6,symmetric,symmetric,-3.1873075477458985
